txn_id,txn_date,entity,currency,account_code,account_name,debit,credit
Sov-1000,2023-03-03,Sovereign UK,GBP,4000,Revenue,0.0,1642.8
Sov-1001,2023-01-21,Sovereign UK,GBP,2000,Intercompany Payables,2329.09,0.0
Sov-1002,2023-03-05,Sovereign UK,GBP,5000,Operating Expenses,2689.37,0.0
Sov-1003,2023-02-04,Sovereign UK,GBP,2000,Intercompany Payables,0.0,2541.56
Sov-1004,2023-07-10,Sovereign UK,GBP,4000,Revenue,0.0,347.04
Sov-1005,2023-12-19,Sovereign UK,GBP,2000,Intercompany Payables,0.0,2878.6
Sov-1006,2023-06-28,Sovereign UK,GBP,4000,Revenue,0.0,3550.64
Sov-1007,2023-10-01,Sovereign UK,GBP,5000,Operating Expenses,4352.52,0.0
Sov-1008,2023-06-07,Sovereign UK,GBP,1000,Cash,2729.47,0.0
Sov-1009,2023-02-15,Sovereign UK,GBP,1000,Cash,3934.86,0.0
Sov-1010,2023-05-09,Sovereign UK,GBP,2000,Intercompany Payables,0.0,1405.98
Sov-1011,2023-11-08,Sovereign UK,GBP,4000,Revenue,0.0,2441.57
Sov-1012,2023-11-07,Sovereign UK,GBP,5000,Operating Expenses,2863.61,0.0
Sov-1013,2023-03-24,Sovereign UK,GBP,1000,Cash,4058.47,0.0
Sov-1014,2023-12-04,Sovereign UK,GBP,5000,Operating Expenses,4036.74,0.0
Sov-1015,2023-10-19,Sovereign UK,GBP,2000,Intercompany Payables,0.0,1746.93
Sov-1016,2023-04-20,Sovereign UK,GBP,1000,Cash,2389.93,0.0
Sov-1017,2023-12-03,Sovereign UK,GBP,2000,Intercompany Payables,3474.85,0.0
Sov-1018,2023-11-20,Sovereign UK,GBP,1000,Cash,840.19,0.0
Sov-1019,2023-11-07,Sovereign UK,GBP,2000,Intercompany Payables,0.0,3731.69
Sov-1020,2023-08-08,Sovereign UK,GBP,2000,Intercompany Payables,0.0,4991.02
Sov-1021,2023-11-05,Sovereign UK,GBP,5000,Operating Expenses,3433.17,0.0
Sov-1022,2023-01-22,Sovereign UK,GBP,5000,Operating Expenses,1632.29,0.0
Sov-1023,2023-04-12,Sovereign UK,GBP,4000,Revenue,0.0,4795.86
Sov-1024,2023-09-17,Sovereign UK,GBP,1000,Cash,1497.35,0.0
Sov-1025,2023-01-03,Sovereign UK,GBP,5000,Operating Expenses,1956.43,0.0
Sov-1026,2023-12-01,Sovereign UK,GBP,2000,Intercompany Payables,518.57,0.0
Sov-1027,2023-05-18,Sovereign UK,GBP,1000,Cash,1098.33,0.0
Sov-1028,2023-03-04,Sovereign UK,GBP,1000,Cash,1290.68,0.0
Sov-1029,2023-08-13,Sovereign UK,GBP,4000,Revenue,0.0,4428.9
Sov-1030,2023-01-06,Sovereign UK,GBP,4000,Revenue,0.0,3870.41
Sov-1031,2023-01-14,Sovereign UK,GBP,5000,Operating Expenses,4294.38,0.0
Sov-1032,2023-06-05,Sovereign UK,GBP,2000,Intercompany Payables,0.0,3998.1
Sov-1033,2023-04-02,Sovereign UK,GBP,2000,Intercompany Payables,0.0,1525.49
Sov-1034,2023-10-20,Sovereign UK,GBP,4000,Revenue,0.0,3976.26
Sov-1035,2023-09-15,Sovereign UK,GBP,2000,Intercompany Payables,0.0,3748.47
Sov-1036,2023-07-31,Sovereign UK,GBP,2000,Intercompany Payables,0.0,4623.1
Sov-1037,2023-06-23,Sovereign UK,GBP,2000,Intercompany Payables,0.0,3858.96
Sov-1038,2023-06-27,Sovereign UK,GBP,2000,Intercompany Payables,484.29,0.0
Sov-1039,2023-02-23,Sovereign UK,GBP,2000,Intercompany Payables,3891.74,0.0
Sov-1040,2023-07-31,Sovereign UK,GBP,5000,Operating Expenses,658.34,0.0
Sov-1041,2023-03-27,Sovereign UK,GBP,2000,Intercompany Payables,0.0,2955.83
Sov-1042,2023-06-21,Sovereign UK,GBP,1000,Cash,2671.13,0.0
Sov-1043,2023-10-23,Sovereign UK,GBP,1000,Cash,4973.99,0.0
Sov-1044,2023-11-09,Sovereign UK,GBP,1000,Cash,3017.54,0.0
Sov-1045,2023-06-23,Sovereign UK,GBP,4000,Revenue,0.0,660.53
Sov-1046,2023-08-07,Sovereign UK,GBP,5000,Operating Expenses,2215.59,0.0
Sov-1047,2023-06-26,Sovereign UK,GBP,2000,Intercompany Payables,2509.63,0.0
Sov-1048,2023-12-24,Sovereign UK,GBP,2000,Intercompany Payables,0.0,4612.84
Sov-1049,2023-02-27,Sovereign UK,GBP,1000,Cash,4315.86,0.0
